sku,name,category,subcategory,price_idr,stock_status,description,specifications,image_url,product_url,tokopedia_url,shopee_url,scraped_at
155764,HP Proliant DL380 G10 826566-B21,Server,,136100000,in_stock,"2x 12C Xeon Gold 5118, 64GB, 300GB SAS, DVDRW, Rack 2U",{},,https://enterkomputer.com/detail/155764/HP-Proliant-DL380-G10-826566-B21,,,2026-05-10T11:19:09.057930+00:00
173457,Office 365 Personal - POSA Version,Software,Office Software,1115000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/9/23/2c2a94a8-2e7d-44ce-992c-2b1b3e7d916b.png,https://enterkomputer.com/detail/173457/Office-365-Personal-POSA-Version,https://www.tokopedia.com/enterkomputer/office-365-personal-posa-version,https://shopee.co.id/product/43570421/13910887595/,2026-05-10T10:07:51.692498+00:00
173886,Windows 11 Home 64Bit,Software,Operating System,2000000,in_stock,Windows OEM (Original Equipment Manufacturer),{},https://images.tokopedia.net/img/cache/900/VqbcmM/2021/11/30/065614fe-3c0e-4d8f-b841-e8743b7c8fa6.jpg,https://enterkomputer.com/detail/173886/Windows-11-Home-64Bit,https://tokopedia.link/MLhwJ4756Bb,https://s.shopee.co.id/30Zhja1DOe,2026-05-10T10:07:03.518682+00:00
173887,Windows 11 Professional 64Bit,Software,Operating System,2465000,in_stock,Windows OEM (Original Equipment Manufacturer),{},https://images.tokopedia.net/img/cache/900/VqbcmM/2021/11/30/ec62e508-64d1-4891-a5b9-57baec38d03b.jpg,https://enterkomputer.com/detail/173887/Windows-11-Professional-64Bit,https://tokopedia.link/Wo3x4Dy96Bb,https://s.shopee.co.id/4L55MumBWP,2026-05-10T10:07:10.436991+00:00
173888,"Office 2021 Home & Business (Word, Excel, Power Point, One Note, Outlook) - FPP - 1 User",Software,Office Software,3720000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/10/22/1a4a0577-55b8-4cdd-a2c7-5ea60585a2bb.jpg,https://enterkomputer.com/detail/173888/Office-2021-Home-Business-Word-Excel-Power-Point-One-Note-Outlook-FPP-1-User,https://tokopedia.link/S5VVv00v7Bb,https://shopee.co.id/product/43570421/11463734817/,2026-05-10T10:07:48.283272+00:00
174983,Windows Server 2022 16 Core,Software,Operating System,14990000,in_stock,,{},,https://enterkomputer.com/detail/174983/Windows-Server-2022-16-Core,,,2026-05-10T10:07:17.382177+00:00
164826,Orico SC2 USB External Sound Card,Soundcard,External,140000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2020/12/7/136efcb7-efca-426b-89ee-43c9ff473bf1.png,https://enterkomputer.com/detail/164826/Orico-SC2-USB-External-Sound-Card,https://www.tokopedia.com/enterkomputer/orico-sc2-usb-external-sound-card,https://shopee.co.id/product/43570421/5268197008/,2026-05-10T10:06:21.498121+00:00
170649,Orico SKT3 External USB Sound Card,Soundcard,External,100000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/4/c7e53d33-2e75-4074-bf01-e4e2ad81c6f3.jpg,https://enterkomputer.com/detail/170649/Orico-SKT3-External-USB-Sound-Card,https://tokopedia.link/88uV4y6ocCb,https://shopee.co.id/product/43570421/9127490007/,2026-05-10T10:06:25.053982+00:00
128721,TP - Link Bluetooth Speaker - HA100,Speaker,Others,308000,in_stock,,{},https://ecs7.tokopedia.net/img/cache/700/VqbcmM/2021/11/2/e11075cf-02a4-4b9d-a7c2-8d9013ae7a9c.png,https://enterkomputer.com/detail/128721/TP-Link-Bluetooth-Speaker-HA100,https://www.tokopedia.com/enterkomputer/tp-link-bluetooth-speaker-ha100,https://shopee.co.id/product/43570421/8604812126/,2026-05-10T10:27:02.308640+00:00
152116,Simbadda CST 909N (Portable),Speaker,,315000,in_stock,,{},,https://enterkomputer.com/detail/152116/Simbadda-CST-909N-Portable,,,2026-05-10T10:25:31.958637+00:00
